Year,SERIES,Reference area,Occupation,Economic activity,UNIT_MEASURE,Value
2015,Debt service as a proportion of exports of goods and services [17.4.1],,,,Percent,101.1
2016,Debt service as a proportion of exports of goods and services [17.4.1],,,,Percent,78.3
2017,Debt service as a proportion of exports of goods and services [17.4.1],,,,Percent,64.1
2018,Debt service as a proportion of exports of goods and services [17.4.1],,,,Percent,48.1
2019,Debt service as a proportion of exports of goods and services [17.4.1],,,,Percent,46.7
2020,Debt service as a proportion of exports of goods and services [17.4.1],,,,Percent,24.3
