Year,SERIES,REF_AREA,OCCUPATION,ACTIVITY,UNIT_MEASURE,Value
2015,SI_POV_DAY1,,,,PT,4.81
2016,SI_POV_DAY1,,,,PT,4.34
2017,SI_POV_DAY1,,,,PT,3.58
2018,SI_POV_DAY1,,,,PT,2.95
2019,SI_POV_DAY1,,,,PT,2.61
2020,SI_POV_DAY1,,,,PT,2.61
