Year,SERIES,REF_AREA,OCCUPATION,ACTIVITY,UNIT_MEASURE,Value
2018,SG_DSR_SILS,,,,PT,100
2019,SG_DSR_SILS,,,,PT,100
2020,SG_DSR_SILS,,,,PT,100
