Year,SERIES,REF_AREA,URBANISATION,OCCUPATION,ACTIVITY,UNIT_MEASURE,Value
2015,EG_EGY_CLEAN,,,,,PT,70.8
2017,EG_EGY_CLEAN,,,,,PT,80.5
2015,EG_EGY_CLEAN,,R,,,PT,59.3
2017,EG_EGY_CLEAN,,R,,,PT,75.2
2015,EG_EGY_CLEAN,,U,,,PT,96.6
2017,EG_EGY_CLEAN,,U,,,PT,97.0
