Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,VC_DSR_MISS,tj,NUMBER,350.0
2016,VC_DSR_MISS,tj,NUMBER,200.0
2017,VC_DSR_MISS,tj,NUMBER,31.0
2018,VC_DSR_MISS,tj,NUMBER,12.0
2019,VC_DSR_MISS,tj,NUMBER,22.0
2015,VC_DSR_MTMP,tj,PER_100000_POP,4.0
2016,VC_DSR_MTMP,tj,PER_100000_POP,2.0
2017,VC_DSR_MTMP,tj,PER_100000_POP,0.35
2018,VC_DSR_MTMP,tj,PER_100000_POP,0.13
2019,VC_DSR_MTMP,tj,PER_100000_POP,0.24
