Year,SERIES,REF_AREA,OCCUPATION,ACTIVITY,UNIT_MEASURE,Value
2015,NV_IND_SSIS,,,,PT,8.3
2016,NV_IND_SSIS,,,,PT,6.7
2017,NV_IND_SSIS,,,,PT,7.1
2018,NV_IND_SSIS,,,,PT,7.7
2019,NV_IND_SSIS,,,,PT,3.8
2020,NV_IND_SSIS,,,,PT,5.6
