Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,Value
2016,SL_TLF_CHLDEC,tj,,Y5T17,PT,13.1
2016,SL_TLF_CHLDEC,tj,M,Y5T17,PT,14.2
2016,SL_TLF_CHLDEC,tj,F,Y5T17,PT,120.0
